Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2014-07-02 11:18:00,Running,,4.20,32:00,7:37,7.87,571.0,,,,
2014-06-30 08:59:18,Running,,2.00,15:00,7:30,8.00,273.0,,,,
2014-06-30 06:19:00,Running,,2.50,18:00,7:12,8.33,334.0,,,,
2014-06-25 10:52:00,Running,,5.00,38:30,7:42,7.79,678.0,,,,
2014-06-23 10:52:00,Running,,2.00,15:00,7:30,8.00,273.0,,,,
2014-06-22 09:16:00,Running,,3.00,26:00,8:40,6.92,396.0,,,,
2014-06-21 09:17:00,Running,,4.10,33:00,8:03,7.45,551.0,,,,
2014-06-20 09:18:00,Running,,3.50,25:00,7:09,8.40,466.0,,,,
2014-06-17 19:48:40,Running,,3.22,28:08,8:44,6.86,432.0,44.64,,,2014-06-17-1948.gpx
2014-06-15 15:51:00,Running,,3.10,28:00,9:02,6.64,413.0,,,,
2014-06-12 06:03:00,Running,,5.00,37:30,7:30,8.00,681.0,,,"+bball",
2014-06-11 17:24:00,Running,,3.00,22:00,7:20,8.18,404.0,,,,
2014-06-09 06:47:00,Running,,2.00,14:40,7:20,8.18,270.0,,,"+bball",
2014-06-05 05:45:00,Running,,5.00,37:00,7:24,8.11,677.0,,,"+bball",
2014-06-03 07:26:14,Running,,5.00,37:10,7:26,8.07,740.289357480627,,,,
2014-06-02 18:42:09,Running,,2.00,14:30,7:15,8.28,292.622140094385,,,,
2014-05-31 12:06:15,Running,,3.11,25:00,8:02,7.46,434.0,,,,
2014-05-29 08:31:00,Running,,2.00,14:40,7:20,8.18,280.0,,,,
2014-05-28 08:31:00,Running,,4.00,30:00,7:30,8.00,566.0,,,"+ speed",
2014-05-27 06:10:00,Running,,5.00,37:00,7:24,8.11,704.0,,,,
2014-05-26 08:58:51,Running,,3.11,27:40,8:54,6.74,396.139111738612,,,,
2014-05-23 08:34:49,Running,,2.75,20:00,7:16,8.25,384.0,,,,
2014-05-22 07:14:40,Running,,5.00,37:30,7:30,8.00,743.465360115051,,,,
2014-05-21 18:47:57,Running,,1.50,10:30,7:00,8.57,215.910600458516,,,,
2014-05-20 08:36:00,Running,,5.00,37:30,7:30,8.00,708.0,,,,
2014-05-19 08:37:16,Running,,5.00,37:00,7:24,8.11,704.0,,,"+ bball
+ jumps",
2014-05-18 12:02:23,Running,,1.80,15:00,8:20,7.20,248.0,,,,
2014-05-16 08:28:21,Running,,4.00,29:20,7:20,8.18,588.420282823193,,,,
2014-05-14 11:46:57,Running,,5.00,37:00,7:24,8.11,738.701356163415,,,,
2014-05-13 06:24:00,Running,,5.00,37:30,7:30,8.00,708.0,,,,
2014-05-12 06:14:00,Running,,4.00,30:00,7:30,8.00,566.0,,,,
2014-05-09 08:24:07,Running,,4.50,32:00,7:07,8.44,645.499175524371,,,,
2014-05-07 06:47:00,Running,,2.00,14:30,7:15,8.28,279.0,,,"+ 60 mins bball",
2014-05-06 17:35:44,Running,,3.19,23:20,7:19,8.20,447.0,49.27,,,2014-05-06-1735.gpx
2014-05-05 16:58:53,Walking,,1.27,16:59,13:24,4.48,157.0,20.64,,,2014-05-05-1658.gpx
2014-05-05 06:04:00,Running,,2.50,19:00,7:36,7.89,353.0,,,"+ bball",
2014-04-28 17:26:56,Running,,2.82,20:46,7:22,8.14,392.0,49.91,,,2014-04-28-1726.gpx
2014-04-26 10:53:21,Running,,5.04,39:16,7:47,7.70,703.0,54.02,,,2014-04-26-1053.gpx
2014-04-23 17:30:00,Running,,2.70,20:00,7:25,8.09,382.0,4.30,,"sore",2014-04-23-1730.gpx
2014-04-20 14:40:24,Running,,3.00,22:00,7:20,8.18,441.315212117395,,,,
2014-04-18 12:27:31,Running,,5.20,36:30,7:01,8.55,714.0,,,,
2014-04-16 18:21:35,Running,,3.37,23:10,6:53,8.72,459.0,46.24,,,2014-04-16-1821.gpx
2014-04-14 06:30:00,Running,,2.00,14:20,7:10,8.37,277.0,,,"+60mins bball",
2014-04-10 17:06:00,Running,,3.00,24:00,8:00,7.50,420.0,,,,
2014-04-10 10:01:00,Running,,3.00,20:30,6:50,8.78,411.0,,,"+60 mins bball",
2014-04-07 07:02:00,Running,,3.00,22:00,7:20,8.18,441.315212117395,,,,
2014-04-05 08:59:38,Running,,3.56,27:26,7:43,7.78,484.0,45.09,,,2014-04-05-0859.gpx
2014-04-03 09:28:00,Running,,3.00,22:30,7:30,8.00,446.079216069031,,,,
2014-04-02 17:42:25,Running,,1.18,8:43,7:24,8.11,162.0,13.64,,,2014-04-02-1742.gpx
2014-03-30 11:44:54,Running,,3.16,23:51,7:34,7.94,443.0,42.48,,,2014-03-30-1144.gpx
2014-03-29 10:49:31,Running,,4.22,31:52,7:33,7.95,574.0,46.51,,,2014-03-29-1049.gpx
2014-03-26 17:46:24,Running,,3.18,22:59,7:14,8.30,433.0,42.69,,,2014-03-26-1746.gpx
2014-03-24 17:44:36,Running,,4.18,31:41,7:35,7.91,584.0,48.39,,,2014-03-24-1744.gpx
2014-03-22 14:58:06,Running,,3.24,23:11,7:10,8.38,449.0,47.64,,,2014-03-22-1458.gpx
2014-03-21 14:20:59,Running,,3.00,22:30,7:30,8.00,446.079216069031,,,,
2014-03-19 18:00:00,Running,,1.20,8:40,7:13,8.31,167.0,,,,
2014-03-17 06:30:00,Running,,1.00,7:30,7:30,8.00,142.0,,,"+60mins bball",
2014-03-10 17:56:41,Running,,3.00,23:00,7:40,7.83,444.296277872081,,,,
2014-03-06 06:30:00,Running,,1.00,7:00,7:00,8.57,137.0,,,,
2014-02-24 06:30:00,Running,,2.00,15:00,7:30,8.00,283.0,,,"+40mins bball",
